city,Temperature (°C),Humidity (%),Weather Condition
Paithan,25.73,23,scattered clouds
Khārupatia,20.89,77,overcast clouds
Itwa,21.77,16,clear sky
Ichchāpuram,23.53,83,broken clouds
Bīlāspur,18.0,19,clear sky
Bawāna,20.03,19,clear sky
Banmankhi,19.32,85,overcast clouds
Bāli,23.49,22,clear sky
Bahjoi,19.96,16,few clouds
Arāmbāgh,21.04,75,broken clouds
Vasa,24.55,23,clear sky
Tharād,24.93,23,clear sky
Thanna Mandi,7.78,35,clear sky
Rāmachandrapuram,22.18,91,clear sky
Rāj-Nāndgaon,24.0,64,scattered clouds
Nashik,22.5,34,clear sky
Nādaun,15.63,39,clear sky
Lālpur,24.67,60,clear sky
Koelwār,21.95,82,clear sky
Fatehpur,22.82,18,clear sky
Vikāsnagar,17.92,40,clear sky
Chetput,28.41,82,few clouds
Bathinda,17.38,23,clear sky
Behror,21.53,16,clear sky
Anūpshahr,20.3,17,scattered clouds
Aduthurai,25.89,84,broken clouds
Vetapālem,26.86,76,clear sky
Vadamadurai,25.49,79,clear sky
Rājsamand,21.51,23,clear sky
Najībābād,18.67,20,clear sky
Murud,23.79,64,clear sky
Kotputli,21.41,17,clear sky
Khetwādi,25.98,73,haze
Karjat,22.82,61,clear sky
Kantilo,23.03,94,clear sky
Jais,22.28,18,clear sky
Indergarh,22.34,14,clear sky
Basavakalyān,28.72,28,scattered clouds
Bareilly,19.53,15,clear sky
Bāgli,23.61,21,clear sky
Noida,20.16,15,clear sky
Umri,22.14,18,clear sky
Siwān,20.03,65,clear sky
Sancoale,27.77,51,clear sky
